# COSI coordinate transformer output
# OSI2 magnet V2.1
# Date,240822
# x[m],y[m],z[m],Bx[T],By[T],Bz[T]
0.03000,-0.04000,-0.10000,-0.04851,-0.00247,0.00130
0.04000,-0.04000,-0.10000,-0.04843,-0.00257,0.00137
0.05000,-0.04000,-0.10000,-0.04838,-0.00266,0.00145
0.05000,-0.03000,-0.10000,-0.04819,-0.00275,0.00143
0.04000,-0.03000,-0.10000,-0.04828,-0.00264,0.00132
0.03000,-0.03000,-0.10000,-0.04838,-0.00253,0.00123
0.02000,-0.03000,-0.10000,-0.04847,-0.00240,0.00117
0.01000,-0.03000,-0.10000,-0.04854,-0.00225,0.00112
0.00000,-0.03000,-0.10000,-0.04858,-0.00209,0.00109
-0.01000,-0.03000,-0.10000,-0.04860,-0.00193,0.00106
-0.02000,-0.03000,-0.10000,-0.04859,-0.00175,0.00107
-0.03000,-0.03000,-0.10000,-0.04855,-0.00159,0.00108
-0.04000,-0.03000,-0.10000,-0.04848,-0.00143,0.00110
-0.05000,-0.03000,-0.10000,-0.04840,-0.00128,0.00114
-0.06000,-0.02000,-0.10000,-0.04815,-0.00109,0.00096
-0.05000,-0.02000,-0.10000,-0.04827,-0.00124,0.00096
-0.04000,-0.02000,-0.10000,-0.04838,-0.00140,0.00094
-0.03000,-0.02000,-0.10000,-0.04846,-0.00155,0.00094
-0.02000,-0.02000,-0.10000,-0.04851,-0.00174,0.00094
-0.01000,-0.02000,-0.10000,-0.04853,-0.00193,0.00095
0.00000,-0.02000,-0.10000,-0.04851,-0.00211,0.00097
0.01000,-0.02000,-0.10000,-0.04846,-0.00227,0.00100
0.02000,-0.02000,-0.10000,-0.04839,-0.00244,0.00104
0.03000,-0.02000,-0.10000,-0.04829,-0.00258,0.00110
0.04000,-0.02000,-0.10000,-0.04816,-0.00271,0.00117
0.05000,-0.02000,-0.10000,-0.04802,-0.00282,0.00123
0.06000,-0.02000,-0.10000,-0.04786,-0.00296,0.00129
0.06000,-0.01000,-0.10000,-0.04782,-0.00294,0.00104
0.05000,-0.01000,-0.10000,-0.04797,-0.00285,0.00104
0.04000,-0.01000,-0.10000,-0.04810,-0.00275,0.00102
0.03000,-0.01000,-0.10000,-0.04823,-0.00262,0.00097
0.02000,-0.01000,-0.10000,-0.04834,-0.00247,0.00093
0.01000,-0.01000,-0.10000,-0.04843,-0.00230,0.00090
0.00000,-0.01000,-0.10000,-0.04848,-0.00211,0.00086
-0.01000,-0.01000,-0.10000,-0.04849,-0.00194,0.00084
-0.02000,-0.01000,-0.10000,-0.04848,-0.00173,0.00082
-0.03000,-0.01000,-0.10000,-0.04842,-0.00155,0.00080
-0.04000,-0.01000,-0.10000,-0.04834,-0.00138,0.00078
-0.05000,-0.01000,-0.10000,-0.04824,-0.00123,0.00077
-0.06000,-0.01000,-0.10000,-0.04813,-0.00108,0.00073
-0.06000,0.00000,-0.10000,-0.04815,-0.00109,0.00062
-0.05000,0.00000,-0.10000,-0.04825,-0.00123,0.00064
-0.04000,0.00000,-0.10000,-0.04834,-0.00139,0.00066
-0.03000,0.00000,-0.10000,-0.04841,-0.00156,0.00069
-0.02000,0.00000,-0.10000,-0.04846,-0.00175,0.00072
-0.01000,-0.00000,-0.10000,-0.04847,-0.00195,0.00075
