# COSI2 B0 scan
# time 2024-09-10 10:16:08.266727
# MAGNET CENTER IN LAB: x 0.000 mm, y 0.000 mm, z 0.000 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: C:/cosi-measure/Software/COSI2/data/240907/240907_ball_R120_no_inserts_bvals_shifted.csv
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
49.880,-100.091,9.971,-47.2350,-2.0400,-0.8400,47.2860
49.880,-100.091,19.971,-47.2510,-2.0600,-0.8200,47.3030
49.880,-100.091,29.971,-47.2710,-2.0600,-0.8200,47.3220
49.880,-100.091,39.971,-47.2940,-2.0700,-0.8200,47.3450
39.880,-100.091,49.971,-47.3070,-2.0700,-0.8300,47.3600
39.880,-100.091,39.971,-47.3010,-2.0500,-0.8300,47.3530
39.880,-100.091,29.971,-47.2840,-2.0500,-0.8300,47.3360
39.880,-100.091,19.971,-47.2640,-2.0500,-0.8400,47.3160
39.880,-100.091,9.971,-47.2560,-2.0400,-0.8400,47.3080
39.880,-100.091,-0.029,-47.2450,-2.0500,-0.8500,47.2960
39.880,-100.091,-10.029,-47.2370,-2.0200,-0.8600,47.2880
39.880,-100.091,-20.029,-47.2360,-2.0200,-0.8600,47.2870
39.880,-100.091,-30.029,-47.2320,-2.0100,-0.8700,47.2830
39.880,-100.091,-40.029,-47.2350,-1.9900,-0.8800,47.2850
39.880,-100.091,-50.029,-47.2370,-1.9800,-0.8900,47.2870
29.880,-100.091,-50.029,-47.2440,-1.9800,-0.8900,47.2940
29.880,-100.091,-40.029,-47.2510,-1.9900,-0.8800,47.3010
29.880,-100.091,-30.029,-47.2440,-2.0000,-0.8700,47.2940
29.880,-100.091,-20.029,-47.2430,-2.0100,-0.8600,47.2930
29.880,-100.091,-10.029,-47.2420,-2.0200,-0.8700,47.2930
29.880,-100.091,-0.029,-47.2460,-2.0300,-0.8500,47.2970
29.880,-100.091,9.971,-47.2520,-2.0400,-0.8500,47.3030
29.880,-100.091,19.971,-47.2670,-2.0500,-0.8500,47.3190
29.880,-100.091,29.971,-47.2740,-2.0600,-0.8400,47.3260
29.880,-100.091,39.971,-47.2850,-2.0600,-0.8400,47.3380
29.880,-100.091,49.971,-47.3040,-2.0700,-0.8300,47.3570
19.880,-100.091,59.971,-47.3220,-2.0700,-0.8400,47.3730
19.880,-100.091,49.971,-47.3200,-2.0600,-0.8400,47.3710
19.880,-100.091,39.971,-47.3040,-2.0500,-0.8300,47.3580
19.880,-100.091,29.971,-47.2900,-2.0400,-0.8400,47.3420
19.880,-100.091,19.971,-47.2720,-2.0300,-0.8400,47.3260
19.880,-100.091,9.971,-47.2660,-2.0300,-0.8500,47.3180
19.880,-100.091,-0.029,-47.2560,-2.0200,-0.8500,47.3070
19.880,-100.091,-10.029,-47.2510,-2.0200,-0.8600,47.3020
19.880,-100.091,-20.029,-47.2520,-2.0200,-0.8600,47.3010
19.880,-100.091,-30.029,-47.2530,-2.0000,-0.8700,47.3050
19.880,-100.091,-40.029,-47.2490,-1.9900,-0.8800,47.2980
19.880,-100.091,-50.029,-47.2590,-1.9900,-0.9000,47.3090
19.880,-100.091,-60.029,-47.2600,-1.9900,-0.9100,47.3110
9.880,-100.091,-60.029,-47.2700,-2.0000,-0.8900,47.3210
9.880,-100.091,-50.029,-47.2710,-1.9900,-0.8900,47.3210
9.880,-100.091,-40.029,-47.2690,-2.0100,-0.8800,47.3200
9.880,-100.091,-30.029,-47.2670,-2.0100,-0.8800,47.3180
9.880,-100.091,-20.029,-47.2580,-2.0000,-0.8600,47.3080
9.880,-100.091,-10.029,-47.2610,-2.0200,-0.8600,47.3120
9.880,-100.091,-0.029,-47.2590,-2.0200,-0.8500,47.3100
9.880,-100.091,9.971,-47.2570,-2.0200,-0.8500,47.3080
9.880,-100.091,19.971,-47.2680,-2.0400,-0.8500,47.3200
9.880,-100.091,29.971,-47.2750,-2.0400,-0.8600,47.3270
9.880,-100.091,39.971,-47.2920,-2.0500,-0.8400,47.3440
9.880,-100.091,49.971,-47.3110,-2.0600,-0.8500,47.3610
9.880,-100.091,59.971,-47.3290,-2.0600,-0.8500,47.3790
-0.120,-100.091,59.971,-47.3340,-2.0500,-0.8500,47.3850
-0.120,-100.091,49.971,-47.3210,-2.0500,-0.8600,47.3750
-0.120,-100.091,39.971,-47.3010,-2.0500,-0.8600,47.3560
-0.120,-100.091,29.971,-47.2870,-2.0400,-0.8600,47.3430
-0.120,-100.091,19.971,-47.2730,-2.0300,-0.8600,47.3260
-0.120,-100.091,9.971,-47.2670,-2.0200,-0.8500,47.3220
-0.120,-100.091,-0.029,-47.2620,-2.0200,-0.8500,47.3150
-0.120,-100.091,-10.029,-47.2600,-2.0100,-0.8600,47.3090
-0.120,-100.091,-20.029,-47.2670,-2.0100,-0.8500,47.3150
-0.120,-100.091,-30.029,-47.2660,-2.0100,-0.8700,47.3170
-0.120,-100.091,-40.029,-47.2720,-2.0100,-0.8700,47.3230
-0.120,-100.091,-50.029,-47.2820,-2.0000,-0.8700,47.3330
-0.120,-100.091,-60.029,-47.2830,-2.0000,-0.8800,47.3340
-10.120,-100.091,-60.029,-47.2910,-2.0200,-0.8700,47.3420
-10.120,-100.091,-50.029,-47.2900,-2.0100,-0.8600,47.3400
-10.120,-100.091,-40.029,-47.2820,-2.0100,-0.8400,47.3330
-10.120,-100.091,-30.029,-47.2770,-2.0100,-0.8500,47.3270
-10.120,-100.091,-20.029,-47.2690,-2.0100,-0.8500,47.3190
-10.120,-100.091,-10.029,-47.2650,-2.0100,-0.8500,47.3150
-10.120,-100.091,-0.029,-47.2570,-2.0200,-0.8600,47.3090
-10.120,-100.091,9.971,-47.2620,-2.0300,-0.8600,47.3120
-10.120,-100.091,19.971,-47.2660,-2.0300,-0.8500,47.3170
-10.120,-100.091,29.971,-47.2800,-2.0400,-0.8700,47.3280
-10.120,-100.091,39.971,-47.2900,-2.0500,-0.8600,47.3410
-10.120,-100.091,49.971,-47.3010,-2.0600,-0.8700,47.3540
-10.120,-100.091,59.971,-47.3220,-2.0600,-0.8800,47.3720
-20.120,-100.091,59.971,-47.3250,-2.0700,-0.9000,47.3790
-20.120,-100.091,49.971,-47.3130,-2.0700,-0.8900,47.3680
-20.120,-100.091,39.971,-47.2920,-2.0600,-0.8700,47.3470
-20.120,-100.091,29.971,-47.2790,-2.0400,-0.8700,47.3320
-20.120,-100.091,19.971,-47.2680,-2.0300,-0.8600,47.3190
-20.120,-100.091,9.971,-47.2580,-2.0300,-0.8500,47.3090
-20.120,-100.091,-0.029,-47.2560,-2.0100,-0.8400,47.3060
-20.120,-100.091,-10.029,-47.2620,-2.0100,-0.8400,47.3120
-20.120,-100.091,-20.029,-47.2640,-2.0100,-0.8400,47.3140
-20.120,-100.091,-30.029,-47.2650,-2.0000,-0.8300,47.3150
-20.120,-100.091,-40.029,-47.2800,-2.0000,-0.8300,47.3290
-20.120,-100.091,-50.029,-47.2870,-2.0100,-0.8400,47.3380
-20.120,-100.091,-60.029,-47.2900,-2.0100,-0.8400,47.3390
-30.120,-100.091,-50.029,-47.2930,-2.0100,-0.8300,47.3430
-30.120,-100.091,-40.029,-47.2870,-2.0100,-0.8300,47.3370
-30.120,-100.091,-30.029,-47.2770,-2.0000,-0.8200,47.3260
-30.120,-100.091,-20.029,-47.2670,-2.0100,-0.8200,47.3180
-30.120,-100.091,-10.029,-47.2560,-2.0200,-0.8400,47.3070
-30.120,-100.091,-0.029,-47.2480,-2.0200,-0.8500,47.3010
-30.120,-100.091,9.971,-47.2480,-2.0200,-0.8500,47.2980
-30.120,-100.091,19.971,-47.2540,-2.0400,-0.8600,47.3020
-30.120,-100.091,29.971,-47.2600,-2.0400,-0.8700,47.3110
-30.120,-100.091,39.971,-47.2730,-2.0500,-0.8800,47.3220
-30.120,-100.091,49.971,-47.2890,-2.0700,-0.8900,47.3410
-40.120,-100.091,49.971,-47.2890,-2.0600,-0.8800,47.3430
-40.120,-100.091,39.971,-47.2750,-2.0500,-0.8900,47.3280
-40.120,-100.091,29.971,-47.2590,-2.0500,-0.8700,47.3110
-40.120,-100.091,19.971,-47.2460,-2.0300,-0.8600,47.2970
-40.120,-100.091,9.971,-47.2420,-2.0200,-0.8400,47.2930
-40.120,-100.091,-0.029,-47.2410,-2.0200,-0.8400,47.2910
-40.120,-100.091,-10.029,-47.2450,-2.0100,-0.8300,47.2960
-40.120,-100.091,-20.029,-47.2470,-2.0100,-0.8100,47.2970
-40.120,-100.091,-30.029,-47.2580,-2.0100,-0.8100,47.3070
-40.120,-100.091,-40.029,-47.2760,-2.0100,-0.8000,47.3250
-40.120,-100.091,-50.029,-47.2900,-2.0100,-0.8000,47.3390
-50.120,-100.091,-40.029,-47.2810,-2.0100,-0.7800,47.3310
-50.120,-100.091,-30.029,-47.2620,-2.0000,-0.7900,47.3120
-50.120,-100.091,-20.029,-47.2470,-2.0000,-0.8000,47.2960
-50.120,-100.091,-10.029,-47.2410,-2.0000,-0.8000,47.2920
-50.120,-100.091,-0.029,-47.2370,-2.0100,-0.8300,47.2880
-50.120,-100.091,9.971,-47.2260,-2.0200,-0.8400,47.2750
-50.120,-100.091,19.971,-47.2300,-2.0300,-0.8600,47.2820
-50.120,-100.091,29.971,-47.2420,-2.0400,-0.8700,47.2930
-50.120,-100.091,39.971,-47.2610,-2.0400,-0.8800,47.3140
-60.120,-100.091,19.971,-47.2280,-2.0200,-0.8600,47.2790
-60.120,-100.091,9.971,-47.2140,-2.0100,-0.8400,47.2640
-60.120,-100.091,-0.029,-47.2120,-2.0000,-0.8300,47.2620
-60.120,-100.091,-10.029,-47.2160,-2.0000,-0.8000,47.2650
-60.120,-100.091,-20.029,-47.2130,-2.0000,-0.8400,47.2630
-70.120,-90.091,29.971,-47.2140,-2.0300,-0.9000,47.2640
-70.120,-90.091,19.971,-47.2100,-2.0100,-0.8700,47.2620
-70.120,-90.091,9.971,-47.2020,-2.0100,-0.8500,47.2520
-70.120,-90.091,-0.029,-47.2040,-2.0100,-0.8400,47.2550
-70.120,-90.091,-10.029,-47.2080,-1.9900,-0.8000,47.2530
-70.120,-90.091,-20.029,-47.2180,-1.9800,-0.7900,47.2640
-70.120,-90.091,-30.029,-47.2240,-1.9700,-0.7500,47.2710
-60.120,-90.091,-50.029,-47.2680,-1.9900,-0.7500,47.3160
-60.120,-90.091,-40.029,-47.2640,-1.9900,-0.7600,47.3120
-60.120,-90.091,-30.029,-47.2510,-1.9800,-0.7800,47.2990
-60.120,-90.091,-20.029,-47.2420,-1.9900,-0.7800,47.2910
-60.120,-90.091,-10.029,-47.2300,-1.9900,-0.8000,47.2790
