233.22, 156.63, 79.30
243.65, 156.63, 79.30
254.09, 156.63, 79.30
264.52, 156.63, 79.30
285.39, 167.06, 79.30
274.96, 167.06, 79.30
264.52, 167.06, 79.30
254.09, 167.06, 79.30
243.65, 167.06, 79.30
233.22, 167.06, 79.30
222.78, 167.06, 79.30
212.35, 167.06, 79.30
201.91, 167.06, 79.30
191.48, 167.06, 79.30
170.61, 177.50, 79.30
181.04, 177.50, 79.30
191.48, 177.50, 79.30
201.91, 177.50, 79.30
212.35, 177.50, 79.30
222.78, 177.50, 79.30
233.22, 177.50, 79.30
243.65, 177.50, 79.30
254.09, 177.50, 79.30
264.52, 177.50, 79.30
274.96, 177.50, 79.30
285.39, 177.50, 79.30
306.26, 187.93, 79.30
295.83, 187.93, 79.30
285.39, 187.93, 79.30
274.96, 187.93, 79.30
264.52, 187.93, 79.30
254.09, 187.93, 79.30
243.65, 187.93, 79.30
233.22, 187.93, 79.30
222.78, 187.93, 79.30
212.35, 187.93, 79.30
201.91, 187.93, 79.30
191.48, 187.93, 79.30
181.04, 187.93, 79.30
170.61, 187.93, 79.30
160.17, 198.37, 79.30
170.61, 198.37, 79.30
181.04, 198.37, 79.30
191.48, 198.37, 79.30
201.91, 198.37, 79.30
212.35, 198.37, 79.30
222.78, 198.37, 79.30
233.22, 198.37, 79.30
243.65, 198.37, 79.30
254.09, 198.37, 79.30
264.52, 198.37, 79.30
274.96, 198.37, 79.30
285.39, 198.37, 79.30
295.83, 198.37, 79.30
316.70, 208.80, 79.30
306.26, 208.80, 79.30
295.83, 208.80, 79.30
285.39, 208.80, 79.30
274.96, 208.80, 79.30
264.52, 208.80, 79.30
254.09, 208.80, 79.30
243.65, 208.80, 79.30
233.22, 208.80, 79.30
222.78, 208.80, 79.30
212.35, 208.80, 79.30
201.91, 208.80, 79.30
191.48, 208.80, 79.30
181.04, 208.80, 79.30
170.61, 208.80, 79.30
160.17, 208.80, 79.30
149.74, 219.24, 79.30
160.17, 219.24, 79.30
170.61, 219.24, 79.30
181.04, 219.24, 79.30
191.48, 219.24, 79.30
201.91, 219.24, 79.30
212.35, 219.24, 79.30
222.78, 219.24, 79.30
233.22, 219.24, 79.30
243.65, 219.24, 79.30
254.09, 219.24, 79.30
264.52, 219.24, 79.30
274.96, 219.24, 79.30
285.39, 219.24, 79.30
295.83, 219.24, 79.30
306.26, 219.24, 79.30
316.70, 229.67, 79.30
306.26, 229.67, 79.30
295.83, 229.67, 79.30
285.39, 229.67, 79.30
274.96, 229.67, 79.30
264.52, 229.67, 79.30
254.09, 229.67, 79.30
243.65, 229.67, 79.30
233.22, 229.67, 79.30
222.78, 229.67, 79.30
212.35, 229.67, 79.30
201.91, 229.67, 79.30
191.48, 229.67, 79.30
181.04, 229.67, 79.30
170.61, 229.67, 79.30
160.17, 229.67, 79.30
149.74, 240.11, 79.30
160.17, 240.11, 79.30
170.61, 240.11, 79.30
181.04, 240.11, 79.30
191.48, 240.11, 79.30
201.91, 240.11, 79.30
212.35, 240.11, 79.30
222.78, 240.11, 79.30
233.22, 240.11, 79.30
243.65, 240.11, 79.30
254.09, 240.11, 79.30
264.52, 240.11, 79.30
274.96, 240.11, 79.30
285.39, 240.11, 79.30
295.83, 240.11, 79.30
306.26, 240.11, 79.30
306.26, 250.54, 79.30
295.83, 250.54, 79.30
285.39, 250.54, 79.30
274.96, 250.54, 79.30
264.52, 250.54, 79.30
254.09, 250.54, 79.30
243.65, 250.54, 79.30
233.22, 250.54, 79.30
222.78, 250.54, 79.30
212.35, 250.54, 79.30
201.91, 250.54, 79.30
191.48, 250.54, 79.30
181.04, 250.54, 79.30
170.61, 250.54, 79.30
160.17, 260.98, 79.30
170.61, 260.98, 79.30
181.04, 260.98, 79.30
