X[mm],Y[mm],Z[mm],Bx[mT],By[mT],Bz[mT]
212.35, 260.98, 68.87, 3.563000, -48.813000, 1.180000
222.78, 260.98, 68.87, 3.755000, -48.807000, 1.217000
233.22, 260.98, 68.87, 3.938000, -48.770000, 1.237000
243.65, 260.98, 68.87, 4.112000, -48.716000, 1.225000
254.09, 260.98, 68.87, 4.247000, -48.634000, 1.241000
264.52, 260.98, 68.87, 4.408000, -48.511000, 1.228000
274.96, 260.98, 68.87, 4.546000, -48.381000, 1.222000
285.39, 260.98, 68.87, 4.644000, -48.288000, 1.205000
295.83, 250.54, 68.87, 4.715000, -47.985000, 1.065000
285.39, 250.54, 68.87, 4.745000, -48.162000, 1.173000
274.96, 250.54, 68.87, 4.655000, -48.310000, 1.237000
264.52, 250.54, 68.87, 4.557000, -48.474000, 1.272000
254.09, 250.54, 68.87, 4.408000, -48.599000, 1.274000
243.65, 250.54, 68.87, 4.244000, -48.698000, 1.284000
233.22, 250.54, 68.87, 4.096000, -48.754000, 1.264000
222.78, 250.54, 68.87, 3.916000, -48.805000, 1.250000
212.35, 250.54, 68.87, 3.721000, -48.806000, 1.210000
201.91, 250.54, 68.87, 3.517000, -48.785000, 1.184000
191.48, 250.54, 68.87, 3.366000, -48.722000, 1.138000
181.04, 250.54, 68.87, 3.187000, -48.633000, 1.078000
170.61, 240.11, 68.87, 2.964000, -48.462000, 1.151000
181.04, 240.11, 68.87, 2.978000, -48.573000, 1.191000
191.48, 240.11, 68.87, 3.150000, -48.684000, 1.199000
201.91, 240.11, 68.87, 3.334000, -48.755000, 1.220000
212.35, 240.11, 68.87, 3.530000, -48.797000, 1.256000
222.78, 240.11, 68.87, 3.698000, -48.795000, 1.285000
233.22, 240.11, 68.87, 3.891000, -48.765000, 1.323000
243.65, 240.11, 68.87, 4.081000, -48.695000, 1.320000
254.09, 240.11, 68.87, 4.265000, -48.605000, 1.353000
264.52, 240.11, 68.87, 4.401000, -48.473000, 1.355000
274.96, 240.11, 68.87, 4.544000, -48.295000, 1.387000
285.39, 240.11, 68.87, 4.679000, -48.106000, 1.397000
295.83, 229.67, 68.87, 4.744000, -48.045000, 1.629000
285.39, 229.67, 68.87, 4.707000, -48.179000, 1.541000
274.96, 229.67, 68.87, 4.619000, -48.342000, 1.483000
264.52, 229.67, 68.87, 4.505000, -48.473000, 1.450000
254.09, 229.67, 68.87, 4.393000, -48.606000, 1.423000
243.65, 229.67, 68.87, 4.223000, -48.720000, 1.396000
233.22, 229.67, 68.87, 4.032000, -48.770000, 1.357000
222.78, 229.67, 68.87, 3.877000, -48.803000, 1.333000
212.35, 229.67, 68.87, 3.672000, -48.800000, 1.319000
201.91, 229.67, 68.87, 3.475000, -48.745000, 1.281000
191.48, 229.67, 68.87, 3.289000, -48.679000, 1.262000
181.04, 229.67, 68.87, 3.149000, -48.571000, 1.242000
170.61, 219.24, 68.87, 3.002000, -48.463000, 1.284000
181.04, 219.24, 68.87, 3.040000, -48.540000, 1.293000
191.48, 219.24, 68.87, 3.154000, -48.652000, 1.298000
201.91, 219.24, 68.87, 3.318000, -48.726000, 1.323000
212.35, 219.24, 68.87, 3.505000, -48.794000, 1.319000
222.78, 219.24, 68.87, 3.666000, -48.799000, 1.344000
233.22, 219.24, 68.87, 3.861000, -48.788000, 1.383000
243.65, 219.24, 68.87, 4.055000, -48.715000, 1.408000
254.09, 219.24, 68.87, 4.233000, -48.641000, 1.429000
264.52, 219.24, 68.87, 4.367000, -48.511000, 1.467000
274.96, 219.24, 68.87, 4.498000, -48.388000, 1.499000
285.39, 219.24, 68.87, 4.603000, -48.251000, 1.517000
295.83, 208.80, 68.87, 4.663000, -48.099000, 1.547000
285.39, 208.80, 68.87, 4.656000, -48.233000, 1.553000
274.96, 208.80, 68.87, 4.565000, -48.383000, 1.523000
264.52, 208.80, 68.87, 4.450000, -48.510000, 1.503000
254.09, 208.80, 68.87, 4.344000, -48.626000, 1.473000
243.65, 208.80, 68.87, 4.188000, -48.722000, 1.427000
233.22, 208.80, 68.87, 4.008000, -48.777000, 1.394000
222.78, 208.80, 68.87, 3.847000, -48.790000, 1.386000
212.35, 208.80, 68.87, 3.663000, -48.782000, 1.378000
201.91, 208.80, 68.87, 3.473000, -48.725000, 1.360000
191.48, 208.80, 68.87, 3.293000, -48.655000, 1.374000
181.04, 208.80, 68.87, 3.167000, -48.534000, 1.352000
181.04, 198.37, 68.87, 3.110000, -48.567000, 1.480000
191.48, 198.37, 68.87, 3.217000, -48.657000, 1.457000
201.91, 198.37, 68.87, 3.337000, -48.742000, 1.450000
212.35, 198.37, 68.87, 3.505000, -48.793000, 1.427000
222.78, 198.37, 68.87, 3.680000, -48.808000, 1.435000
233.22, 198.37, 68.87, 3.866000, -48.791000, 1.450000
243.65, 198.37, 68.87, 4.007000, -48.743000, 1.498000
254.09, 198.37, 68.87, 4.174000, -48.656000, 1.523000
264.52, 198.37, 68.87, 4.314000, -48.549000, 1.589000
274.96, 198.37, 68.87, 4.438000, -48.441000, 1.662000
285.39, 187.93, 68.87, 4.475000, -48.480000, 1.833000
274.96, 187.93, 68.87, 4.427000, -48.557000, 1.712000
264.52, 187.93, 68.87, 4.351000, -48.620000, 1.604000
254.09, 187.93, 68.87, 4.263000, -48.709000, 1.550000
243.65, 187.93, 68.87, 4.136000, -48.776000, 1.491000
233.22, 187.93, 68.87, 3.991000, -48.831000, 1.481000
222.78, 187.93, 68.87, 3.833000, -48.840000, 1.454000
212.35, 187.93, 68.87, 3.699000, -48.832000, 1.463000
201.91, 187.93, 68.87, 3.539000, -48.795000, 1.473000
191.48, 187.93, 68.87, 3.396000, -48.735000, 1.498000
201.91, 177.50, 68.87, 3.432000, -48.822000, 1.424000
212.35, 177.50, 68.87, 3.584000, -48.849000, 1.422000
222.78, 177.50, 68.87, 3.734000, -48.853000, 1.424000
233.22, 177.50, 68.87, 3.877000, -48.830000, 1.424000
243.65, 177.50, 68.87, 3.994000, -48.797000, 1.450000
254.09, 177.50, 68.87, 4.123000, -48.744000, 1.479000
254.09, 146.19, 79.30, 4.056000, -48.759000, 1.371000
243.65, 146.19, 79.30, 4.011000, -48.763000, 1.328000
233.22, 146.19, 79.30, 3.924000, -48.787000, 1.304000
222.78, 146.19, 79.30, 3.833000, -48.797000, 1.293000
191.48, 156.63, 79.30, 3.572000, -48.784000, 1.374000
201.91, 156.63, 79.30, 3.554000, -48.795000, 1.359000
212.35, 156.63, 79.30, 3.659000, -48.788000, 1.354000
222.78, 156.63, 79.30, 3.755000, -48.785000, 1.359000
233.22, 156.63, 79.30, 3.840000, -48.764000, 1.385000
243.65, 156.63, 79.30, 3.943000, -48.735000, 1.394000
254.09, 156.63, 79.30, 4.032000, -48.702000, 1.457000
264.52, 156.63, 79.30, 4.122000, -48.666000, 1.491000
285.39, 167.06, 79.30, 4.334000, -48.461000, 1.575000
