X[mm],Y[mm],Z[mm],Bx[mT],By[mT],Bz[mT]
228.00, 344.45, 168.00, 3.803000, -48.482000, 1.356000
348.00, 224.45, 168.00, 3.644000, -47.070000, 1.362000
228.00, 104.45, 168.00, 3.749000, -48.280000, 1.338000
108.00, 224.45, 168.00, 3.905000, -46.994000, 1.237000
228.00, 224.45, 288.00, 4.043000, -49.756000, 1.588000
228.00, 224.45, 168.00, 3.770000, -48.275000, 1.386000
228.00, 224.45, 48.00, 3.920000, -49.205000, 1.397000
