# COSI2 B0 scan,,,,,,,,,,,,,,
# time 2024-08-22 14:57:51.915814,,,,,,,,,,,,,,
# MAGNET CENTER IN LAB: x 232.290 mm, y 232.950 mm, z 201.880 mm,,,,,,,,,,,,
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg,,,,,,,,,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240820/240822_v21_every_second_point_R120_atmpt2,,,,,,,,,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT],,,,,,,,
272.29,212.95,121.88,-48.33,-2.446,1.12,48.4,,,,,,,,
252.29,212.95,121.88,-48.13,-2.68,1.2,48.258,,,,,,,,
232.29,212.95,121.88,-47.96,-2.801,1.27,48.056,,,,,,,,
212.29,212.95,121.88,-47.88,-2.888,1.07,47.897,,,,,,,,
192.29,212.95,121.88,-48.07,-2.833,0.99,48.165,,,,,,,,
172.29,212.95,121.88,-48.28,-2.678,0.93,48.307,,,,,,,,
152.29,212.95,121.88,-48.38,-2.394,0.85,48.448,,,,,,,,
152.29,232.95,121.88,-48.44,-2.24,0.79,48.499,,,,,,,,
172.29,232.95,121.88,-48.42,-1.911,0.75,48.46,,,,,,,,
192.29,232.95,121.88,-48.29,-1.581,0.75,48.318,,,,,,,,
212.29,232.95,121.88,-48.08,-1.424,0.76,48.169,,,,,,,,
232.29,232.95,121.88,-47.97,-1.182,0.66,47.991,,,,,,,,
252.29,232.95,121.88,-47.94,-1.119,0.55,47.956,,,,,,,,
272.29,232.95,121.88,-48.17,-1.213,0.54,48.185,,,,,,,,
292.29,232.95,121.88,-48.28,-1.382,0.57,48.305,,,,,,,,
312.29,232.95,121.88,-48.37,-1.763,0.62,48.382,,,,,,,,
312.29,252.95,121.88,-48.35,-1.942,0.66,48.388,,,,,,,,
292.29,252.95,121.88,-48.21,-2.291,0.73,48.272,,,,,,,,
272.29,252.95,121.88,-47.9,-2.664,0.81,47.982,,,,,,,,
252.29,252.95,121.88,-47.9,-2.664,0.81,47.982,,,,,,,,
232.29,252.95,121.88,-47.63,-2.868,0.8,47.772,,,,,,,,
212.29,252.95,121.88,-47.62,-2.931,0.61,47.717,,,,,,,,
192.29,252.95,121.88,-47.89,-2.799,0.6,47.902,,,,,,,,
172.29,252.95,121.88,-48.08,-2.672,0.59,48.155,,,,,,,,
152.29,252.95,121.88,-48.26,-2.387,0.55,48.276,,,,,,,,
152.29,272.95,121.88,-48.32,-2.224,0.51,48.371,,,,,,,,
172.29,272.95,121.88,-48.3,-1.872,0.45,48.34,,,,,,,,
192.29,272.95,121.88,-48.17,-1.56,0.4,48.249,,,,,,,,
212.29,272.95,121.88,-48.01,-1.379,0.33,48.035,,,,,,,,
232.29,272.95,121.88,-47.92,-1.104,0.25,47.915,,,,,,,,
252.29,272.95,121.88,-48,-1.093,0.13,48.015,,,,,,,,
272.29,272.95,121.88,-48.19,-1.204,0.19,48.148,,,,,,,,
292.29,272.95,121.88,-48.28,-1.507,0.28,48.307,,,,,,,,
312.29,272.95,121.88,-48.32,-1.675,0.34,48.342,,,,,,,,
292.29,292.95,121.88,-48.28,-2.012,0.38,48.324,,,,,,,,
272.29,292.95,121.88,-48.13,-2.331,0.41,48.228,,,,,,,,
252.29,292.95,121.88,-47.83,-2.585,0.43,47.969,,,,,,,,
232.29,292.95,121.88,-47.68,-2.756,0.46,47.766,,,,,,,,
212.29,292.95,121.88,-47.74,-2.812,0.42,47.775,,,,,,,,
192.29,292.95,121.88,-47.94,-2.789,0.21,48.024,,,,,,,,
172.29,292.95,121.88,-48.11,-2.677,0.24,48.183,,,,,,,,
212.29,312.95,121.88,-48.28,-2.413,0.26,48.34,,,,,,,,
232.29,312.95,121.88,-48.35,-2.129,0.25,48.393,,,,,,,,
252.29,312.95,121.88,-48.23,-1.578,0.05,48.312,,,,,,,,
272.29,312.95,121.88,-48.28,-1.539,0.05,48.299,,,,,,,,
212.29,332.95,141.88,-48.4,-1.691,0.11,48.41,,,,,,,,
232.29,332.95,141.88,-48.42,-1.833,0.18,48.456,,,,,,,,
252.29,332.95,141.88,-48.27,-2.405,0.22,48.31,,,,,,,,
292.29,312.95,141.88,-48.32,-2.309,0.2,48.376,,,,,,,,
272.29,312.95,141.88,-48.36,-2.079,0.16,48.401,,,,,,,,
252.29,312.95,141.88,-48.33,-2.1,0.18,48.378,,,,,,,,
232.29,312.95,141.88,-48.17,-2.249,0.17,48.278,,,,,,,,
212.29,312.95,141.88,-48.05,-2.351,0.26,48.109,,,,,,,,
192.29,312.95,141.88,-48.02,-2.424,0.28,48.031,,,,,,,,
172.29,312.95,141.88,-48.14,-2.428,0.26,48.199,,,,,,,,
152.29,292.95,141.88,-48.23,-2.334,0.25,48.283,,,,,,,,
172.29,292.95,141.88,-48.29,-2.138,0.23,48.34,,,,,,,,
192.29,292.95,141.88,-48.27,-1.855,0.18,48.302,,,,,,,,
212.29,292.95,141.88,-48.16,-1.697,0.16,48.238,,,,,,,,
232.29,292.95,141.88,-48.04,-1.61,0.08,48.067,,,,,,,,
252.29,292.95,141.88,-47.99,-1.523,0.03,47.938,,,,,,,,
272.29,292.95,141.88,-48.13,-1.509,0.17,48.149,,,,,,,,
292.29,292.95,141.88,-48.2,-1.626,0.23,48.23,,,,,,,,
312.29,292.95,141.88,-48.25,-1.847,0.27,48.285,,,,,,,,
312.29,272.95,141.88,-48.23,-1.958,0.3,48.273,,,,,,,,
292.29,272.95,141.88,-48.14,-2.202,0.33,48.187,,,,,,,,
272.29,272.95,141.88,-47.96,-2.38,0.33,48.079,,,,,,,,
252.29,272.95,141.88,-47.8,-2.478,0.31,47.863,,,,,,,,
232.29,272.95,141.88,-47.61,-2.651,0.38,47.682,,,,,,,,
212.29,272.95,141.88,-47.63,-2.688,0.46,47.704,,,,,,,,
192.29,272.95,141.88,-47.89,-2.58,0.45,47.886,,,,,,,,
172.29,272.95,141.88,-48.02,-2.476,0.44,48.089,,,,,,,,
152.29,272.95,141.88,-48.17,-2.269,0.41,48.185,,,,,,,,
132.29,252.95,141.88,-48.22,-2.159,0.38,48.272,,,,,,,,
152.29,252.95,141.88,-48.2,-1.922,0.34,48.251,,,,,,,,
172.29,252.95,141.88,-48.05,-1.606,0.28,48.116,,,,,,,,
192.29,252.95,141.88,-47.89,-1.509,0.19,47.917,,,,,,,,
212.29,252.95,141.88,-47.66,-1.251,0.2,47.757,,,,,,,,
232.29,252.95,141.88,-47.59,-1.148,0.26,47.605,,,,,,,,
252.29,252.95,141.88,-47.9,-1.242,0.31,47.838,,,,,,,,
272.29,252.95,141.88,-48.05,-1.399,0.37,48.073,,,,,,,,
292.29,252.95,141.88,-48.19,-1.535,0.42,48.194,,,,,,,,
312.29,252.95,141.88,-48.24,-1.797,0.46,48.27,,,,,,,,
332.29,252.95,141.88,-48.2,-1.918,0.49,48.262,,,,,,,,
332.29,232.95,141.88,-48.13,-2.162,0.54,48.178,,,,,,,,
312.29,232.95,141.88,-47.94,-2.388,0.57,48,,,,,,,,
292.29,232.95,141.88,-47.68,-2.491,0.59,47.842,,,,,,,,
272.29,232.95,141.88,-47.47,-2.689,0.59,47.547,,,,,,,,
252.29,232.95,141.88,-47.34,-2.907,0.72,47.433,,,,,,,,
232.29,232.95,141.88,-47.56,-2.929,0.76,47.552,,,,,,,,
212.29,232.95,141.88,-47.56,-2.88,0.77,47.651,,,,,,,,
192.29,232.95,141.88,-48.01,-2.535,0.71,0,,,,,,,,
172.29,232.95,141.88,0,0,0,0,,,,,,,,
152.29,232.95,141.88,-48.23,-2.307,0.63,48.208,,,,,,,,
132.29,232.95,141.88,-48.27,-2.049,0.57,48.314,,,,,,,,
132.29,212.95,141.88,-48.27,-1.958,0.55,48.314,,,,,,,,
152.29,212.95,141.88,-48.16,-1.832,0.52,48.199,,,,,,,,
172.29,212.95,141.88,-47.99,-1.517,0.49,48.015,,,,,,,,
192.29,212.95,141.88,-47.64,-1.275,0.49,47.748,,,,,,,,
212.29,212.95,141.88,-47.69,-1.108,0.6,47.702,,,,,,,,
232.29,212.95,141.88,-47.83,-1.12,0.6,47.702,,,,,,,,
252.29,212.95,141.88,-48.01,-1.217,0.63,48.033,,,,,,,,
272.29,212.95,141.88,-48.26,-1.59,0.63,48.243,,,,,,,,
292.29,212.95,141.88,-48.26,-1.59,0.63,48.285,,,,,,,,
312.29,212.95,141.88,-48.37,-1.708,0.66,48.39,,,,,,,,
332.29,212.95,141.88,-48.36,-1.965,0.71,48.409,,,,,,,,
312.29,192.95,141.88,-48.29,-2.078,0.75,48.342,,,,,,,,
292.29,192.95,141.88,-48.14,-2.306,0.81,48.197,,,,,,,,
272.29,192.95,141.88,-47.81,-2.624,0.92,47.894,,,,,,,,
252.29,192.95,141.88,-47.45,-2.744,0.97,47.663,,,,,,,,
232.29,192.95,141.88,-47.73,-2.921,1.06,47.831,,,,,,,,
212.29,192.95,141.88,-48.06,-2.832,1.07,48.063,,,,,,,,
192.29,192.95,141.88,-48.23,-2.552,0.95,48.303,,,,,,,,
172.29,192.95,141.88,-48.35,-2.439,0.89,48.419,,,,,,,,
152.29,192.95,141.88,-48.46,-2.237,0.8,48.449,,,,,,,,
152.29,172.95,141.88,-48.49,-2.137,0.76,48.542,,,,,,,,
172.29,172.95,141.88,-48.48,-1.903,0.73,48.518,,,,,,,,
192.29,172.95,141.88,-48.37,-1.712,0.73,48.451,,,,,,,,
212.29,172.95,141.88,-48.26,-1.602,0.73,48.293,,,,,,,,
232.29,172.95,141.88,-48.24,-1.441,0.77,48.227,,,,,,,,
252.29,172.95,141.88,-48.39,-1.438,0.83,48.416,,,,,,,,
272.29,172.95,141.88,-48.54,-1.58,0.76,48.525,,,,,,,,
292.29,172.95,141.88,-48.62,-1.678,0.76,48.656,,,,,,,,
