# COSI2 B0 scan,,,,,,,,,,,,,,,,
# time 2024-08-22 17:33:38.691408,,,,,,,,,,,,,,,,
# MAGNET CENTER IN LAB: x 232.290 mm, y 232.950 mm, z 201.880 mm,,,,,,,,,,,,,,
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg,,,,,,,,,,,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240820/240822_6mm_ball_V21_R120_2s_waiting_lcdoff,,,,,,,,,,,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT],,,,,,,,,,
172.29,192.95,121.88,-48.383,-1.374,0.975,48.413,,,,,,,,,,
192.29,192.95,121.88,-48.505,-1.582,0.961,48.54,,,,,,,,,,
212.29,192.95,121.88,-48.575,-1.795,0.952,48.619,,,,,,,,,,
232.29,192.95,121.88,-48.572,-2.025,0.979,48.624,,,,,,,,,,
252.29,192.95,121.88,-48.502,-2.241,1.038,48.565,,,,,,,,,,
272.29,192.95,121.88,-48.378,-2.435,1.13,48.453,,,,,,,,,,
292.29,192.95,121.88,-48.219,-2.621,1.225,48.305,,,,,,,,,,
312.29,192.95,121.88,-48.048,-2.813,1.322,48.148,,,,,,,,,,
312.29,212.95,121.88,-47.758,-2.951,1.156,47.863,,,,,,,,,,
292.29,212.95,121.88,-47.993,-2.687,1.079,48.081,,,,,,,,,,
272.29,212.95,121.88,-48.193,-2.494,0.995,48.267,,,,,,,,,,
252.29,212.95,121.88,-48.341,-2.28,0.913,48.403,,,,,,,,,,
232.29,212.95,121.88,-48.42,-2.038,0.865,48.47,,,,,,,,,,
212.29,212.95,121.88,-48.421,-1.78,0.828,48.461,,,,,,,,,,
192.29,212.95,121.88,-48.334,-1.544,0.812,48.367,,,,,,,,,,
172.29,212.95,121.88,-48.188,-1.304,0.824,48.213,,,,,,,,,,
152.29,212.95,121.88,-47.995,-1.067,0.845,48.015,,,,,,,,,,
152.29,232.95,121.88,-47.91,-1.042,0.602,47.924,,,,,,,,,,
172.29,232.95,121.88,-48.097,-1.274,0.616,48.115,,,,,,,,,,
192.29,232.95,121.88,-48.245,-1.525,0.631,48.274,,,,,,,,,,
212.29,232.95,121.88,-48.33,-1.784,0.674,48.366,,,,,,,,,,
232.29,232.95,121.88,-48.333,-2.049,0.721,48.382,,,,,,,,,,
252.29,232.95,121.88,-48.24,-2.305,0.764,48.298,,,,,,,,,,
272.29,232.95,121.88,-48.075,-2.524,0.823,48.148,,,,,,,,,,
292.29,232.95,121.88,-47.864,-2.718,0.876,47.948,,,,,,,,,,
