# COSI2 B0 scan,,,,,,
# time 2024-05-22 18:55:30.362520,,,,,,
# MAGNET CENTER IN LAB: x 241.700 mm, y 131.100 mm, z 273.800 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240522/path_no_magnet_80mm_8pts,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
247.03,125.77,215.13,-47.506,-0.865,2.014,47.553
257.7,125.77,215.13,-47.509,-0.862,2.008,47.558
268.37,125.77,215.13,-47.508,-0.857,2.006,47.559
279.03,125.77,215.13,-47.522,-0.846,2.006,47.572
289.7,125.77,215.13,-47.527,-0.834,1.998,47.576
289.7,115.1,215.13,-47.514,-0.838,1.986,47.563
279.03,115.1,215.13,-47.515,-0.841,1.997,47.563
268.37,115.1,215.13,-47.501,-0.855,1.994,47.553
257.7,115.1,215.13,-47.504,-0.853,2.002,47.557
247.03,115.1,215.13,-47.502,-0.861,2.004,47.553
236.37,115.1,215.13,-47.496,-0.866,2.01,47.549
225.7,115.1,215.13,-47.509,-0.873,2.011,47.563
215.03,115.1,215.13,-47.513,-0.885,2.01,47.56
204.37,104.43,215.13,-47.509,-0.893,2.021,47.56
215.03,104.43,215.13,-47.499,-0.886,2.013,47.55
225.7,104.43,215.13,-47.499,-0.88,2.008,47.552
236.37,104.43,215.13,-47.492,-0.876,2.006,47.542
247.03,104.43,215.13,-47.495,-0.865,1.997,47.545
257.7,104.43,215.13,-47.501,-0.859,1.999,47.549
268.37,104.43,215.13,-47.499,-0.851,1.99,47.548
279.03,104.43,215.13,-47.511,-0.845,1.98,47.559
268.37,93.77,215.13,-47.496,-0.855,1.981,47.544
257.7,93.77,215.13,-47.49,-0.864,1.993,47.535
247.03,93.77,215.13,-47.49,-0.866,1.996,47.539
236.37,93.77,215.13,-47.494,-0.878,2.006,47.543
268.37,72.43,225.8,-47.488,-0.845,1.966,47.536
257.7,72.43,225.8,-47.486,-0.857,1.971,47.534
247.03,72.43,225.8,-47.484,-0.868,1.984,47.534
236.37,72.43,225.8,-47.483,-0.876,1.99,47.532
204.37,83.1,225.8,-47.508,-0.894,2.004,47.56
215.03,83.1,225.8,-47.5,-0.888,2.002,47.554
225.7,83.1,225.8,-47.499,-0.877,1.995,47.55
236.37,83.1,225.8,-47.497,-0.873,1.986,47.547
247.03,83.1,225.8,-47.498,-0.867,1.977,47.547
257.7,83.1,225.8,-47.496,-0.856,1.972,47.545
268.37,83.1,225.8,-47.496,-0.85,1.966,47.544
279.03,83.1,225.8,-47.503,-0.841,1.96,47.551
300.37,93.77,225.8,-47.534,-0.826,1.958,47.581
289.7,93.77,225.8,-47.523,-0.836,1.961,47.568
279.03,93.77,225.8,-47.511,-0.846,1.973,47.563
268.37,93.77,225.8,-47.502,-0.853,1.979,47.552
257.7,93.77,225.8,-47.501,-0.861,1.987,47.549
247.03,93.77,225.8,-47.503,-0.864,1.99,47.552
236.37,93.77,225.8,-47.506,-0.87,1.994,47.554
225.7,93.77,225.8,-47.502,-0.874,2.005,47.553
215.03,93.77,225.8,-47.512,-0.884,2.006,47.563
204.37,93.77,225.8,-47.517,-0.881,2.008,47.567
193.7,104.43,225.8,-47.53,-0.885,2.013,47.578
204.37,104.43,225.8,-47.522,-0.884,2.009,47.574
215.03,104.43,225.8,-47.514,-0.88,2.004,47.568
225.7,104.43,225.8,-47.507,-0.874,2,47.558
236.37,104.43,225.8,-47.502,-0.869,1.988,47.554
247.03,104.43,225.8,-47.508,-0.862,1.996,47.553
257.7,104.43,225.8,-47.506,-0.86,1.987,47.556
268.37,104.43,225.8,-47.51,-0.851,1.986,47.56
279.03,104.43,225.8,-47.514,-0.85,1.979,47.563
289.7,104.43,225.8,-47.524,-0.838,1.975,47.573
311.03,115.1,225.8,-47.55,-0.813,1.972,47.597
300.37,115.1,225.8,-47.54,-0.825,1.983,47.59
289.7,115.1,225.8,-47.533,-0.835,1.984,47.585
279.03,115.1,225.8,-47.524,-0.835,1.989,47.578
268.37,115.1,225.8,-47.515,-0.843,1.999,47.563
257.7,115.1,225.8,-47.51,-0.856,2,47.563
247.03,115.1,225.8,-47.503,-0.857,1.999,47.554
236.37,115.1,225.8,-47.51,-0.862,2.004,47.561
225.7,115.1,225.8,-47.51,-0.877,2.001,47.559
215.03,115.1,225.8,-47.519,-0.87,2.009,47.568
204.37,115.1,225.8,-47.524,-0.882,2.009,47.575
193.7,115.1,225.8,-47.533,-0.883,2.01,47.584
183.03,125.77,225.8,-47.547,-0.883,2.012,47.597
193.7,125.77,225.8,-47.537,-0.877,2.01,47.584
204.37,125.77,225.8,-47.525,-0.879,2.011,47.576
215.03,125.77,225.8,-47.517,-0.869,2.004,47.564
225.7,125.77,225.8,-47.515,-0.87,2.002,47.566
236.37,125.77,225.8,-47.513,-0.863,2.006,47.561
247.03,125.77,225.8,-47.511,-0.86,2.003,47.561
257.7,125.77,225.8,-47.512,-0.853,1.998,47.564
268.37,125.77,225.8,-47.52,-0.848,1.999,47.569
279.03,125.77,225.8,-47.528,-0.841,1.994,47.576
289.7,125.77,225.8,-47.535,-0.831,1.991,47.584
300.37,125.77,225.8,-47.544,-0.821,1.987,47.593
311.03,136.43,225.8,-47.57,-0.821,1.999,47.619
300.37,136.43,225.8,-47.55,-0.83,2.006,47.598
289.7,136.43,225.8,-47.539,-0.833,2.011,47.59
279.03,136.43,225.8,-47.526,-0.841,2.013,47.578
268.37,136.43,225.8,-47.52,-0.848,2.013,47.568
257.7,136.43,225.8,-47.519,-0.848,2.011,47.565
247.03,136.43,225.8,-47.514,-0.854,2.01,47.566
236.37,136.43,225.8,-47.513,-0.863,2.01,47.566
225.7,136.43,225.8,-47.517,-0.863,2.013,47.568
215.03,136.43,225.8,-47.517,-0.869,2.012,47.567
204.37,136.43,225.8,-47.525,-0.874,2.006,47.576
193.7,136.43,225.8,-47.537,-0.871,2.009,47.586
183.03,147.1,225.8,-47.542,-0.877,2.004,47.595
193.7,147.1,225.8,-47.536,-0.872,2.003,47.583
204.37,147.1,225.8,-47.524,-0.874,2.007,47.572
215.03,147.1,225.8,-47.519,-0.861,2.005,47.568
225.7,147.1,225.8,-47.515,-0.868,2.012,47.566
236.37,147.1,225.8,-47.51,-0.859,2.012,47.561
247.03,147.1,225.8,-47.513,-0.86,2.015,47.56
257.7,147.1,225.8,-47.52,-0.853,2.02,47.57
268.37,147.1,225.8,-47.525,-0.846,2.02,47.575
279.03,147.1,225.8,-47.533,-0.842,2.021,47.583
