# COSI coordinate transformer output
# OSI2 magnet V1
# Date,240913
# x[m],y[m],z[m],Bx[T],By[T],Bz[T]
0.05601,-0.00995,-0.02848,-0.00005,-0.00202,-0.04750
0.05601,-0.00051,-0.02848,-0.00004,-0.00202,-0.04750
0.05601,0.00893,-0.02848,-0.00003,-0.00203,-0.04750
0.05601,0.01838,-0.02848,-0.00003,-0.00204,-0.04750
0.05601,0.02782,-0.02848,-0.00003,-0.00205,-0.04751
0.05601,0.03727,-0.02848,-0.00003,-0.00206,-0.04751
0.05601,0.04671,-0.02848,-0.00002,-0.00206,-0.04752
0.05601,0.05616,-0.02848,-0.00002,-0.00206,-0.04753
0.05601,0.04671,-0.03793,-0.00002,-0.00207,-0.04755
0.05601,0.03727,-0.03793,-0.00002,-0.00206,-0.04755
0.05601,0.02782,-0.03793,-0.00002,-0.00207,-0.04755
0.05601,0.01838,-0.03793,-0.00001,-0.00206,-0.04753
0.05601,0.00893,-0.03793,-0.00002,-0.00205,-0.04752
0.05601,-0.00051,-0.03793,-0.00002,-0.00205,-0.04751
0.05601,-0.00995,-0.03793,-0.00003,-0.00204,-0.04751
0.05601,-0.01940,-0.03793,-0.00003,-0.00204,-0.04750
0.05601,-0.02884,-0.03793,-0.00004,-0.00203,-0.04750
0.05601,-0.03829,-0.03793,-0.00005,-0.00203,-0.04749
0.05601,-0.04773,-0.03793,-0.00004,-0.00201,-0.04749
0.05601,-0.03829,-0.04737,-0.00005,-0.00201,-0.04750
0.05601,-0.02884,-0.04737,-0.00005,-0.00201,-0.04750
0.05601,-0.01940,-0.04737,-0.00005,-0.00202,-0.04749
0.05601,-0.00995,-0.04737,-0.00005,-0.00202,-0.04749
0.05601,-0.00051,-0.04737,-0.00004,-0.00204,-0.04749
0.05601,0.00893,-0.04737,-0.00004,-0.00204,-0.04749
0.05601,0.01838,-0.04737,-0.00003,-0.00204,-0.04749
0.05601,0.02782,-0.04737,-0.00003,-0.00207,-0.04750
0.05601,0.03727,-0.04737,-0.00002,-0.00206,-0.04751
0.05601,0.02782,-0.05682,-0.00001,-0.00207,-0.04751
0.05601,0.01838,-0.05682,-0.00002,-0.00207,-0.04752
0.05601,0.00893,-0.05682,-0.00002,-0.00206,-0.04751
0.05601,-0.00051,-0.05682,-0.00002,-0.00206,-0.04750
0.05601,-0.00995,-0.05682,-0.00004,-0.00205,-0.04749
0.05601,-0.01940,-0.05682,-0.00004,-0.00205,-0.04748
0.05601,-0.02884,-0.05682,-0.00004,-0.00203,-0.04748
0.04656,0.01838,-0.06626,-0.00005,-0.00202,-0.04748
0.04656,0.00893,-0.06626,-0.00004,-0.00204,-0.04748
0.04656,-0.00051,-0.06626,0.00000,-0.00207,-0.04749
0.04656,-0.00995,-0.06626,-0.00003,-0.00206,-0.04750
0.04656,-0.01940,-0.06626,-0.00004,-0.00205,-0.04749
0.04656,-0.03829,-0.05682,-0.00005,-0.00204,-0.04749
0.04656,-0.02884,-0.05682,-0.00006,-0.00202,-0.04748
0.04656,-0.01940,-0.05682,-0.00006,-0.00201,-0.04749
0.04656,-0.00995,-0.05682,-0.00005,-0.00203,-0.04749
0.04656,-0.00051,-0.05682,-0.00005,-0.00203,-0.04749
0.04656,0.00893,-0.05682,-0.00005,-0.00203,-0.04749
0.04656,0.01838,-0.05682,-0.00004,-0.00205,-0.04750
0.04656,0.02782,-0.05682,-0.00004,-0.00205,-0.04750
0.04656,0.03727,-0.05682,-0.00002,-0.00206,-0.04751
0.04656,0.04671,-0.04737,-0.00002,-0.00206,-0.04752
0.04656,0.03727,-0.04737,-0.00002,-0.00207,-0.04753
0.04656,0.02782,-0.04737,-0.00002,-0.00207,-0.04753
0.04656,0.01838,-0.04737,-0.00003,-0.00206,-0.04753
0.04656,0.00893,-0.04737,-0.00003,-0.00205,-0.04753
0.04656,-0.00051,-0.04737,-0.00005,-0.00205,-0.04752
0.04656,-0.00995,-0.04737,-0.00004,-0.00204,-0.04751
0.04656,-0.01940,-0.04737,-0.00004,-0.00204,-0.04750
0.04656,-0.02884,-0.04737,-0.00005,-0.00202,-0.04750
0.04656,-0.03829,-0.04737,-0.00006,-0.00202,-0.04750
0.04656,-0.04773,-0.04737,-0.00006,-0.00202,-0.04750
0.04656,-0.05718,-0.03793,-0.00007,-0.00202,-0.04750
0.04656,-0.04773,-0.03793,-0.00007,-0.00200,-0.04750
0.04656,-0.03829,-0.03793,-0.00007,-0.00200,-0.04751
0.04656,-0.02884,-0.03793,-0.00007,-0.00202,-0.04751
