# COSI2 B0 scan
# time 2024-08-22 11:33:15.437139
# MAGNET CENTER IN LAB: x 0.000 mm, y 0.000 mm, z 0.000 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: C:/cosi-measure/Software/COSI2/data/240722/ball_R120_10pts_bvals_shifted.csv
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
36.014,-95.962,-0.023,-47.2650,-0.8000,0.4100,47.2740
36.014,-95.962,11.977,-47.2680,-0.8100,0.4100,47.2770
36.014,-95.962,23.977,-47.2800,-0.8000,0.4200,47.2880
36.014,-95.962,35.977,-47.2910,-0.8000,0.4200,47.2990
36.014,-95.962,47.977,-47.2980,-0.8000,0.4100,47.3070
36.014,-95.962,59.977,-47.2970,-0.8000,0.4200,47.3080
24.014,-95.962,59.977,-47.2960,-0.8000,0.4100,47.3060
24.014,-95.962,47.977,-47.3000,-0.8000,0.4300,47.3090
24.014,-95.962,35.977,-47.2950,-0.8100,0.4100,47.3030
24.014,-95.962,23.977,-47.2860,-0.8100,0.4100,47.2940
24.014,-95.962,11.977,-47.2800,-0.7900,0.4100,47.2880
24.014,-95.962,-0.023,-47.2760,-0.8000,0.4100,47.2850
24.014,-95.962,-12.023,-47.2650,-0.8000,0.4000,47.2780
24.014,-95.962,-24.023,-47.2680,-0.7900,0.3900,47.2740
24.014,-95.962,-36.023,-47.2710,-0.7900,0.3800,47.2780
24.014,-95.962,-48.023,-47.2720,-0.7900,0.3800,47.2800
24.014,-95.962,-60.023,-47.2660,-0.7800,0.3800,47.2740
12.014,-95.962,-60.023,-47.2740,-0.7900,0.3700,47.2820
12.014,-95.962,-48.023,-47.2730,-0.8000,0.3700,47.2820
12.014,-95.962,-36.023,-47.2730,-0.7900,0.3900,47.2870
12.014,-95.962,-24.023,-47.2770,-0.7900,0.4000,47.2870
12.014,-95.962,-12.023,-47.2850,-0.7900,0.4000,47.2910
12.014,-95.962,-0.023,-47.2720,-0.7900,0.4000,47.2810
12.014,-95.962,11.977,-47.2740,-0.8000,0.4000,47.2830
12.014,-95.962,23.977,-47.2850,-0.8000,0.4100,47.2940
12.014,-95.962,35.977,-47.2880,-0.8000,0.4100,47.2960
12.014,-95.962,47.977,-47.2990,-0.8000,0.4100,47.3070
12.014,-95.962,59.977,-47.2990,-0.7900,0.4200,47.3080
0.014,-95.962,59.977,-47.3160,-0.7900,0.4100,47.3260
