X[mm],Y[mm],Z[mm],Bx[mT],By[mT],Bz[mT]
238.53, 186.49, 178.27, -47.517000, -2.017000, -0.271000
248.96, 186.49, 178.27, -47.524000, -2.020000, -0.273000
259.40, 186.49, 178.27, -47.523000, -2.026000, -0.265000
269.83, 186.49, 178.27, -47.526000, -2.038000, -0.274000
280.27, 186.49, 178.27, -47.531000, -2.049000, -0.270000
290.70, 186.49, 178.27, -47.533000, -2.055000, -0.268000
301.14, 186.49, 178.27, -47.536000, -2.067000, -0.277000
311.57, 186.49, 178.27, -47.535000, -2.080000, -0.283000
322.01, 176.05, 178.27, -47.519000, -2.077000, -0.298000
311.57, 176.05, 178.27, -47.525000, -2.070000, -0.288000
301.14, 176.05, 178.27, -47.533000, -2.057000, -0.284000
290.70, 176.05, 178.27, -47.527000, -2.041000, -0.292000
280.27, 176.05, 178.27, -47.528000, -2.038000, -0.280000
269.83, 176.05, 178.27, -47.526000, -2.027000, -0.272000
259.40, 176.05, 178.27, -47.523000, -2.017000, -0.278000
248.96, 176.05, 178.27, -47.520000, -2.019000, -0.277000
238.53, 176.05, 178.27, -47.523000, -2.009000, -0.264000
228.09, 176.05, 178.27, -47.523000, -2.004000, -0.265000
217.66, 176.05, 178.27, -47.529000, -2.006000, -0.278000
207.22, 176.05, 178.27, -47.539000, -1.991000, -0.284000
196.79, 165.62, 178.27, -47.542000, -1.990000, -0.281000
207.22, 165.62, 178.27, -47.539000, -1.992000, -0.281000
217.66, 165.62, 178.27, -47.534000, -1.996000, -0.281000
228.09, 165.62, 178.27, -47.531000, -2.007000, -0.280000
238.53, 165.62, 178.27, -47.524000, -2.016000, -0.285000
248.96, 165.62, 178.27, -47.521000, -2.023000, -0.286000
259.40, 165.62, 178.27, -47.521000, -2.025000, -0.281000
269.83, 165.62, 178.27, -47.525000, -2.023000, -0.285000
280.27, 165.62, 178.27, -47.523000, -2.026000, -0.286000
290.70, 165.62, 178.27, -47.523000, -2.050000, -0.293000
301.14, 165.62, 178.27, -47.526000, -2.050000, -0.304000
311.57, 165.62, 178.27, -47.519000, -2.053000, -0.307000
322.01, 155.18, 178.27, -47.509000, -2.054000, -0.314000
311.57, 155.18, 178.27, -47.510000, -2.045000, -0.319000
301.14, 155.18, 178.27, -47.518000, -2.051000, -0.296000
290.70, 155.18, 178.27, -47.514000, -2.031000, -0.298000
280.27, 155.18, 178.27, -47.519000, -2.028000, -0.295000
269.83, 155.18, 178.27, -47.515000, -2.017000, -0.286000
259.40, 155.18, 178.27, -47.517000, -2.019000, -0.281000
248.96, 155.18, 178.27, -47.521000, -2.016000, -0.278000
238.53, 155.18, 178.27, -47.523000, -2.013000, -0.273000
228.09, 155.18, 178.27, -47.528000, -2.002000, -0.277000
217.66, 155.18, 178.27, -47.533000, -1.996000, -0.273000
207.22, 155.18, 178.27, -47.538000, -1.987000, -0.277000
196.79, 144.75, 178.27, -47.547000, -1.972000, -0.270000
207.22, 144.75, 178.27, -47.543000, -1.985000, -0.265000
217.66, 144.75, 178.27, -47.536000, -1.999000, -0.262000
228.09, 144.75, 178.27, -47.527000, -1.998000, -0.260000
238.53, 144.75, 178.27, -47.523000, -2.020000, -0.271000
248.96, 144.75, 178.27, -47.518000, -2.019000, -0.273000
259.40, 144.75, 178.27, -47.515000, -2.007000, -0.272000
269.83, 144.75, 178.27, -47.511000, -2.015000, -0.283000
280.27, 144.75, 178.27, -47.512000, -2.019000, -0.293000
290.70, 144.75, 178.27, -47.508000, -2.021000, -0.300000
301.14, 144.75, 178.27, -47.507000, -2.030000, -0.314000
311.57, 144.75, 178.27, -47.498000, -2.035000, -0.327000
322.01, 134.31, 178.27, -47.481000, -2.008000, -0.328000
311.57, 134.31, 178.27, -47.486000, -2.016000, -0.315000
301.14, 134.31, 178.27, -47.496000, -2.016000, -0.300000
290.70, 134.31, 178.27, -47.499000, -2.014000, -0.300000
280.27, 134.31, 178.27, -47.502000, -2.015000, -0.284000
269.83, 134.31, 178.27, -47.501000, -2.015000, -0.277000
259.40, 134.31, 178.27, -47.503000, -2.015000, -0.264000
248.96, 134.31, 178.27, -47.511000, -2.008000, -0.261000
238.53, 134.31, 178.27, -47.516000, -1.999000, -0.254000
228.09, 134.31, 178.27, -47.526000, -2.007000, -0.258000
217.66, 134.31, 178.27, -47.533000, -1.992000, -0.258000
207.22, 134.31, 178.27, -47.535000, -1.988000, -0.258000
207.22, 123.88, 178.27, -47.533000, -1.999000, -0.246000
217.66, 123.88, 178.27, -47.531000, -2.010000, -0.242000
228.09, 123.88, 178.27, -47.520000, -2.008000, -0.250000
238.53, 123.88, 178.27, -47.518000, -2.010000, -0.249000
248.96, 123.88, 178.27, -47.502000, -2.016000, -0.253000
